1001	KickS2C
1002	PredictActionS2C
1003	RunningGameS2C
1007	BattleS2C
1011	LotteryDrawS2C
1013	LandBuffsS2C
1015	RoundStartS2C
1016	GameFinishS2C
1018	MonsterRefreshS2C
1019	MovePointBuffS2C
1020	ChangeDirS2C
1022	GambleChangeS2C
1023	HeroBarBoxChangeS2C
1024	RoomNotifyS2C
1026	ActionStartNotifyS2C
1031	NoGambleNotifyS2C
1034	GambleObServeS2C
1040	UpdateHeroAttrS2C
1042	ChangePlayerSlotS2C
1043	BossSleepS2C
1044	RefMallS2C
1045	BagItemChangeS2C
1046	RoleCardChangeS2C
1047	TaskConditionS2C
1048	TaskInfoS2C
1049	PlayerOnlineS2C
1050	ChangeExpS2C
1051	MailAddS2C
1052	OnlineSyncRoomIdS2C
1053	NoticeS2C
1054	ActivityTaskConditionS2C
1055	MapEventS2C
1056	Day7RewardS2C
1057	MapEventTrainS2C
1058	ChangePraiseNumS2C
1059	MonthlyCardS2C
1060	MailDelS2C
1061	FriendNotifyS2C
1062	FriendListChangeS2C
1063	FriendInviteNotifyS2C
1064	LoopNoticeS2C
1065	BattlePassLvS2C
1066	BattlePassTaskInfoS2C
1067	BattlePassUpdateTaskS2C
1068	BattlePassBuyS2C
1069	BattlePassInfoS2C
1070	FriendsChatMsgS2C
1071	GameProgressChangeS2C
1072	MapMissionNotifyS2C
1073	ChangeItemLimitS2C
1074	CleanItemLimitS2C
1075	CampaignPassS2C
1076	CampaignNotifyS2C
1077	KillMessageS2C
1078	GameScoreChangeS2C
1079	SignInRewardS2C
1080	PayResultS2C
1081	PayInfoChangeS2C
1082	InviteSuccessS2C
1083	InviteInfoNotifyS2C
1084	MapStatusChangeS2C
1085	GachaCountS2C
1086	MapIndexChangeS2C
1087	SurrenderPunishS2C
1088	GamePassMapSuccessS2C
1090	FriendDelNotifyS2C
1091	BagExpiredTransformNotify
1092	MapEventCrabS2C
1093	PkAfterVoteS2C
1094	PlayerTaskNotifyS2C
1095	UnLockDifficultyS2C
1096	HeroSkillMoveEffectS2C
1097	TimeOutKickPlayerS2C
1098	SayPhraseNotifyS2C
1099	MatchTeamInviteNotify
1100	RefreshMatchTeamStateNotify
1101	ActivityPassGearChangeS2C
1102	SingleGameScoreChangeS2C
1103	DelayProgressMapEventS2C
1104	LuckyStarMissionChangeS2C
1105	MatchPunishmentS2C
1106	ChallengeDataChangeS2C
1107	GmUnlockRoleInfoS2C
1108	SyncPlayerCreditInfoS2C
1109	RoomHeroCardChangeS2C
1110	RoomRoundAddTermS2C
1111	ReturnInfoS2C
1112	SyncRelicsS2C
1113	ReplaySnapshotS2C
1114	ClueNotifyS2C
1115	ReplayDieS2C
1116	GuildTaskNotifyS2C
1117	GameRoundChangeS2C
1118	NotifyQuestionS2C
2001	SyncPlayerGuildS2C
2002	SyncPlayerJoinGuildS2C
2003	GuildChatMsgS2C
2004	SyncGuildS2C
2005	SyncGuildMemberS2C
2006	SyncGuildMemberExitS2C
5002	ConnectS2C
5004	HeartbeatS2C
5006	CreateRoomS2C
5008	SyncRoomS2C
5010	JoinRoomS2C
5012	ExitRoomS2C
5014	QueryRoomS2C
5016	RefreshRoomStateS2C
5020	StartGameS2C
5022	ThrowDiceS2C
5024	ChangeRoomS2C
5028	MoveS2C
